,Oxaliplatin,Ulixertinib,Fulvestrant,Uprosertib,Dactinomycin,Docetaxel,Camptothecin,5-Fluorouracil,Afatinib,Taselisib,PD0325901,Sapitinib,Alpelisib,SCH772984,LGK974,Luminespib,Linsitinib,GSK1904529A,EPZ5676,EPZ004777,Irinotecan,PLX-4720,Nutlin-3a (-),MG-132,Staurosporine,MK-2206,Trametinib,Palbociclib,MK-1775,Cisplatin,Pictilisib,AZD7762,Olaparib,Dasatinib,AZD3759,PD173074,Vorinostat,Dabrafenib,Paclitaxel,AZD4547,Lapatinib,Sorafenib,Nilotinib,Tamoxifen,Gemcitabine,Venetoclax,Bortezomib,Wee1 Inhibitor,Osimertinib,AGI-5198,Ipatasertib,Erlotinib,Sepantronium bromide,Cediranib,Buparlisib,YK-4-279,AZD8186,UMI-77,Cytarabine,BPD-00008900,MIM1,Dactolisib,NVP-ADW742,Gefitinib,Telomerase Inhibitor IX,GDC0810,WEHI-539,BDP-00009066,Epirubicin,GSK2578215A,I-BRD9,P22077,AZD6738,AZD5363,BMS-536924,ABT737,WIKI4,Afuresertib,Savolitinib,Navitoclax,Cyclophosphamide,MIRA-1,Pyridostatin,Temozolomide,Vinorelbine,Vinblastine,Pevonedistat,Foretinib,BIBR-1532,MK-8776,Talazoparib,AMG-319,AZ6102,VX-11e,LJI308,AT13148,Rapamycin,GSK591,VE821,GNE-317,Crizotinib,Entinostat,Alisertib,Fludarabine,Mitoxantrone,Niraparib,JAK1_8709,Leflunomide,IRAK4_4710,Entospletinib,BMS-345541,Podophyllotoxin bromide,Gallibiscoquinazole,Sinularin,PCI-34051,Carmustine,Topotecan,AGI-6780,VSP34_8731,MN-64,ML323,XAV939,PFI3,Zoledronate,CZC24832,KRAS (G12C) Inhibitor-12,ERK_2440,Acetalax,LY2109761,AZD1332,Mirin,OTX015,Wnt-C59,PRIMA-1MET,PRT062607,AZD5438,Obatoclax Mesylate,AZD2014,OF-1,Selumetinib,WZ4003,Teniposide,Picolinici-acid,JAK_8517,Elephantin,Ruxolitinib,VE-822,ERK_6604,IWP-2,PAK_5339,RVX-208,TAF1_5496,Dinaciclib,Nelarabine,IGF1R_3801,GSK343,CDK9_5576,LCL161,I-BET-762,AZD5153,CDK9_5038,AZD1208,Dihydrorotenone,ULK1_4989,Sabutoclax,AZ960,IAP_5620,Ibrutinib,AZD5991,Eg5_9814,Vincristine,GSK2606414,AZD5582,Daporinad,OSI-027,AZD8055,SB216763,Axitinib,RO-3306,Tozasertib,GSK269962A,KU-55933,PF-4708671,AZD6482,ZM447439,JQ1,NU7441,SB505124,Ribociclib,Doramapimod,BMS-754807,BI-2536,Cetuximab,Doxorubicin,Etoposide,Bleomycin,Bicalutamide,Bleomycin (50 uM),Pemetrexed,AICA Ribonucleotide
22RV1,3.0813365000000004,2.803572,4.227332,1.133014,-4.923521,-2.9419365,-3.142631,2.478859,2.433064,0.9729639999999999,0.641888,5.56816,2.077915,2.896209,4.731942,-2.131591,3.306754,4.167249,6.007912999999999,5.970863,2.060165,5.153903,2.562728,-1.690391,-2.7205340000000002,2.070103,1.48359,2.828738,2.948688,3.6222849999999998,1.007193,1.9072639999999998,5.238894999999999,3.9515089999999997,3.066447,4.961591,0.846758,6.06046,-2.608319,3.233135,3.743992,3.2675099999999997,3.93594,3.510179,-2.79927,3.303186,-4.7363940000000015,2.597779,2.861897,5.893052,3.3841989999999997,3.7046379999999997,-2.996629,1.976548,0.5852310000000001,2.638076,3.526126,2.005472,3.8269349999999998,3.7894660000000004,4.509578,-2.881767,2.43145,4.032555,0.45985,6.062725,4.335838,1.6863130000000002,-1.5561049999999998,5.766986,5.2648779999999995,6.083273,3.185074,2.5015970000000003,2.737841,3.7480550000000004,4.581114,1.4638360000000001,3.258009,3.963435,5.842034,6.082548,2.8721259999999997,6.804612,-3.4660029999999997,-4.459258999999999,1.5677290000000002,2.3185990000000003,5.992197,3.646186,2.407532,6.06916,2.771439,3.5172879999999997,4.933993,2.378729,-4.474842,5.6715519999999975,5.655248,-0.24693099999999998,3.282176,1.850475,2.590589,6.004705,-0.225726,3.3523059999999996,4.430804,5.52081,4.5050620000000015,5.022928,2.335148,-0.482501,2.995444,3.952226,5.445074,5.815501,-0.776716,3.901068,2.747969,5.8535580000000005,4.562896,4.825634,5.771954,3.74534,4.397125,2.693967,1.5477040000000002,-0.9337709999999999,5.58935,3.422703,4.667461,2.9608849999999998,3.9106120000000004,3.215631,1.7698349999999998,3.4244470000000002,1.487555,-0.551583,4.729431,3.487807,4.000959,0.275109,6.045938,2.848389,3.178472,6.0629300000000015,4.088992,2.772264,3.680972,0.863893,4.277172,4.214005,-2.780291,6.387706,0.816124,3.4611120000000004,-0.857095,5.525759,2.2018419999999996,0.76303,-3.650157,5.003845,1.5889879999999998,1.141442,-1.05824,3.842732,6.245074,5.031967,3.871164,-3.6299589999999995,-2.097045,3.333811,2.2467189999999997,-3.2848370000000005,,,,,,,,,,,,,,,,,,,6.683803,-2.5002065,0.2465,1.938966,3.6730665,4.03129,1.456603,8.277725
42-MG-BA,4.1297345000000005,3.1477085,4.045351,1.6821965,-4.231256,-4.2470725,-2.9067060000000002,3.362543,1.7235490000000002,0.896352,1.961409,4.136671,2.992025,2.964445,3.566074,-2.756768,4.474981,4.365921,5.128559,5.352169,1.7655919999999998,4.585977,5.533789,-1.533623,-6.297467,1.6465290000000001,0.971772,5.160666,2.279117,2.56301,0.47685500000000003,-1.033307,3.210166,-1.8523630000000002,2.934145,3.231395,1.8046400000000002,4.55764,-3.4009650000000002,0.952577,3.271705,1.820209,1.996017,3.787142,-3.7311669999999997,2.773902,-4.6534699999999996,2.966137,1.488888,4.680624,1.911757,3.384925,-5.090262999999998,0.298115,0.5093439999999999,1.723414,1.9120130000000002,2.966542,1.035739,3.258388,1.846511,-3.2801970000000003,1.889513,3.853929,0.08530499999999999,4.767481,4.043737999999999,1.373732,-2.54215,5.221195,4.006147,3.975347,1.565993,1.403266,1.6629880000000001,3.02294,3.6872730000000002,0.561507,1.9060810000000001,2.486457,5.142124,5.488675,3.3390400000000002,5.499546,-3.9218089999999997,-4.7785410000000015,-0.101957,-0.981786,5.355642,2.373217,1.7333470000000002,5.247738,2.4756810000000002,2.899096,5.3622510000000005,3.004648,-3.7303940000000004,4.298847,4.150422,-0.712248,3.392776,2.2613380000000003,1.485959,5.027533,1.658553,2.144146,3.94495,5.825146,3.6753480000000014,2.537928,2.205889,-0.753426,2.200911,2.3649310000000003,4.859961,6.315252,-0.5925060000000001,4.8006410000000015,2.34602,5.271014,4.770288,3.9162660000000002,5.445101999999999,3.5553339999999998,4.794651999999999,3.846485,1.816037,5.5460970000000005,4.278323,2.004515,3.9843669999999998,2.329908,4.574813,5.835371,2.303465,1.9282270000000001,0.742598,0.593152,5.271024,4.503593,3.853185,0.468732,4.351792,1.5945340000000001,3.5126370000000002,3.999542,4.3697349999999995,4.183039,2.464026,1.7063549999999998,4.172442,5.31895,-3.422078,6.002802,1.768557,2.905183,-0.948931,5.174342,3.279735,0.81195,-3.201348,5.150479,1.70469,-0.005542,-0.062657,1.071731,5.218827,4.098416,5.38077,-0.752744,-2.1353419999999996,2.509598,1.6021459999999998,,5.2836,,,,,,,,,,,,,,,,,,6.367808999999999,-2.1297194999999998,2.420287,2.128587,3.5247645,-0.450167,2.582966,7.5626070000000025
5637,4.3911095,2.88436,3.5355775,4.4533615000000015,-4.2628355,-5.553314,-2.31453,3.3132580000000003,-0.036451,1.8224759999999998,0.680802,1.718302,3.595567,2.229329,4.077287,-2.160732,4.208287,5.617621,6.22498,5.747076,2.229657,4.21778,5.243188,-1.9460950000000001,-3.516543,5.210958,-0.5632520000000001,4.695227,-0.520786,1.949298,1.881186,0.40363000000000004,4.255246,-1.9547169999999998,1.093429,4.859475,1.434107,4.781957,-4.320505000000002,2.728746,2.152832,2.972289,4.477423,4.094658,-1.767897,2.210227,-5.040545,1.926655,0.522533,4.544496,5.023208,0.723374,-3.7982489999999998,2.732897,0.41740299999999997,0.082844,3.791829,3.9460940000000004,2.460016,4.778421,3.930852,-1.24298,3.2229099999999997,1.831853,0.034335000000000004,4.418514,2.8452,2.1452709999999997,-1.4738719999999998,5.404289,5.751531,4.225295,2.076129,3.5877410000000003,1.796269,2.631881,3.536451,4.2441,1.957588,2.984122,5.393143,5.95337,2.679232,5.301062,-5.196169,,0.23797100000000002,0.4185430000000001,5.0691440000000005,3.7911669999999997,2.21092,4.969635,2.328566,2.808092,5.5324480000000005,5.427144999999999,-0.501841,3.0274490000000003,3.9417190000000004,0.699332,4.447811,1.018559,0.706669,4.575404,1.184935,4.433013,4.164902,4.487524,4.238499,4.020576999999999,4.52505,-1.015333,2.023558,3.9218580000000003,5.938212,5.751071,-0.55256,4.682486,2.571724,5.819659,5.56254,5.424404,5.698285,4.148671,5.263081,3.6597370000000002,2.435362,6.639999,5.941823,2.716121,5.073879,2.864739,4.366879,4.020158,3.454306,3.164891,1.225647,1.704104,4.436849,3.693371,4.488451,0.108547,4.575837,2.608889,4.190962,5.828755999999999,4.730639,3.0251959999999998,3.4282269999999997,2.091728,5.566512,4.860638,-1.866181,6.217474,0.9533379999999999,3.171325,0.8850899999999999,5.261705999999998,4.198119,2.465343,-0.992907,5.660901,0.135731,2.045777,0.309852,2.147739,5.784138,3.9459779999999998,5.7835410000000005,-3.4265489999999996,-2.318438,3.1780470000000003,2.3458349999999997,,5.058043,,,,,,,,,,,,,,,,,,5.181353,-3.0098195,-0.20723000000000005,-1.6794930000000001,3.206796,-0.494399,0.572228,8.011649
647-V,5.2349885,3.2364135,4.20118,4.1925485,-3.8870105,-4.0511335,-4.410302,6.536331,1.9555209999999998,2.975022,0.063677,3.982004,5.402659,3.289185,4.486892,-1.5047540000000001,4.2914639999999995,4.461641999999999,4.879524,5.248711,0.007318000000000002,5.530757,5.381683,-2.176736,-3.156009,4.231781,1.296656,5.21825,0.421325,1.329007,1.644613,-0.092236,1.848022,0.862284,2.289075,4.510321,1.895959,5.540901,-0.8827139999999999,2.585911,4.20406,3.002657,4.5091209999999995,3.929389,-3.6170760000000004,1.53108,-5.464496,1.406885,2.169254,5.1323300000000005,4.797631,2.387702,-5.826633,1.932868,1.149009,3.0455490000000003,2.708593,1.734072,1.081747,5.4484330000000005,4.52568,-1.0831950000000001,2.958442,3.4810000000000003,-0.09023400000000001,5.461402,3.299804,2.43708,-1.8616380000000001,5.016081,4.851107,4.084669,2.133896,3.5202449999999996,2.94789,3.5068330000000003,3.917704,4.052789,1.267352,1.593963,5.532657,5.56781,2.787859,4.352855,-1.7894900000000002,-1.8846459999999998,-1.6384869999999998,1.578809,4.546537,4.437719,-1.202413,5.374548,1.95897,3.9889629999999996,5.447607,3.078882,-1.485814,4.972023,5.124479,0.55652,4.046578,3.005194,4.492687,6.1674370000000005,0.9519620000000001,2.2961110000000002,3.7877669999999997,5.675438,4.9519720000000005,4.126672,3.466971,0.284837,1.6447150000000001,3.550849,4.71891,5.91172,-2.767146,5.858503,1.762818,5.696122,4.337112,4.621069,5.246002,4.113937,5.225189,5.704098,4.136892,4.058897,5.915057,4.667308,4.1635599999999995,3.57609,5.549691999999999,5.715441,4.962018,2.804209,0.491699,2.257396,4.7432419999999995,3.802749,4.8084440000000015,-0.240533,5.620722,4.882333,2.7552470000000002,5.2446589999999995,5.088938,4.593980999999999,2.999768,2.960404,5.811575,4.688948,-2.339976,5.936875,3.077618,3.172395,0.62998,5.439947,4.044493,2.520582,-1.8371560000000002,4.785829,0.4120140000000001,2.562886,-0.74217,3.609793,2.8380669999999997,5.409176,5.346593,-1.697214,-0.73848,3.735017,-3.120405,,5.1827309999999995,,,,,,,,,,,,,,,,,,6.281643,-3.3100515,-0.7159409999999999,0.586752,3.6546434999999997,1.342142,1.6521169999999998,7.5473
697,0.7453485,1.6096455,2.342711,1.341499,-6.782442,-6.605281,-5.004851,2.4361189999999997,0.28483200000000003,1.227971,-0.532158,4.219933,2.040979,1.8294169999999998,3.4508449999999997,-4.607163,2.217838,2.195226,3.412879,4.102392,-0.176903,2.135134,0.279019,-2.2972099999999998,-6.149845,-0.046458,0.576617,-1.6917330000000002,-1.8014599999999998,-0.108876,-1.4552459999999998,-2.154886,0.330962,-0.001198,2.107766,0.990489,-0.14339000000000002,0.7846989999999999,-5.971097,0.533464,1.4703540000000002,1.2962559999999999,1.315064,2.687643,-5.897144,-3.805603,-5.431998999999999,-0.332807,0.398296,3.84085,1.532804,0.903279,-5.712457,1.367167,-0.37644299999999997,-0.5667909999999999,1.786289,3.087104,-5.3223970000000005,1.921943,1.589065,-4.086379,1.214324,2.307113,0.068052,4.0688830000000005,2.7621130000000003,0.663749,-5.149053,4.193955,2.032677,1.742662,-0.82171,0.988186,0.983949,-2.4555849999999997,2.584377,1.073273,1.343857,-1.9230009999999997,3.438652,1.8554169999999999,1.383976,5.124569999999999,-6.1947589999999995,-6.31924,-1.3573110000000002,-1.66726,3.545812,0.010842000000000001,-4.125738,2.4912330000000003,1.1555440000000001,1.802846,3.490061,1.919571,-4.264462,2.460389,0.9830530000000001,-1.288203,-0.258315,-0.125563,-3.4163949999999996,0.195914,-3.602158,-0.526931,1.8351680000000001,3.456488,2.8312880000000002,1.387022,1.9126720000000001,-2.178044,1.715407,2.021455,1.49129,4.265847,-1.9428470000000002,2.819839,-3.4215459999999998,4.422731,3.21749,4.276649,4.466497,2.299845,3.357828,2.1769,1.028057,4.420605999999999,4.47239,2.86043,3.9398239999999998,-0.699199,2.5888169999999997,1.1727370000000001,1.296504,-0.083159,0.074656,-0.25054699999999996,4.493283,3.83244,2.132927,-2.879838,3.759904,0.8598950000000001,1.417506,4.1406550000000015,1.295032,1.5567090000000001,1.97363,-3.595489,3.200329,3.253082,-3.8200489999999996,1.8614830000000002,-1.421973,1.823445,-2.394365,3.560001,0.284222,-1.861466,-5.206909,4.216285,1.3187209999999998,-4.0370300000000015,-2.7403880000000003,-0.80808,1.1058350000000001,3.209795,-2.993657,-4.863606,-4.713984,1.321954,,,,,,,,,,,,,,,,,,,,,6.310279,-4.2736795,-1.237162,0.444168,2.7763985,0.974989,,6.0111550000000005
769-P,3.1949185,2.687513,3.671584,3.5162910000000003,-3.9163315,-3.023415,-2.139694,3.317243,0.839724,2.767655,0.217772,1.8229799999999998,3.764075,2.9093459999999998,4.061114,-1.521707,4.7790370000000015,5.401166,4.407548,5.543499,3.8273940000000004,4.192384,1.892281,-1.11134,-4.749378,4.111701999999998,-0.29885900000000004,1.566776,-0.742891,3.312665,1.468783,-1.2092479999999999,4.569357,-0.435392,0.696934,3.56396,1.16184,3.5828949999999997,-2.943308,4.168353,0.9785299999999999,2.242857,1.462779,4.062316,-2.5623,3.274677,-4.671174,1.109931,0.988346,5.668125,4.748339,1.558255,-5.626608,1.601328,1.2602360000000001,2.010841,3.255562,4.444287,0.570922,2.270244,4.785202,-3.373533,2.3896319999999998,1.445262,1.673988,5.580552,3.66899,1.045208,-1.654832,5.681539,4.507135,5.6524980000000005,0.738815,3.944353,2.8964950000000003,1.6683970000000001,4.485732,3.3408919999999998,3.3765980000000004,1.232536,4.974381,4.862853,5.6698699999999995,6.482648,-2.140937,-4.05379,1.6944439999999998,1.852068,4.593964,1.6446040000000002,2.287907,4.611823,1.3949799999999999,2.824295,4.787227,2.1715169999999997,-1.7062529999999998,3.85575,1.9892279999999998,-0.45719899999999997,4.082145,3.153248,3.4372550000000004,3.606587,1.0321870000000002,3.4603029999999997,4.6899510000000015,5.383954,4.790719999999999,4.240715,3.17295,-0.9311280000000001,1.7832270000000001,3.302135,4.166189,4.718217,0.80489,4.664958,2.221618,4.784638,5.422233,4.1348769999999995,5.355473,3.82462,5.403427,4.2429120000000005,2.1964040000000002,5.110563,4.626176999999998,3.60786,7.542077000000001,0.580274,4.075539,3.991571,3.62932,1.621059,1.371896,2.203368,3.932342,3.9189870000000004,3.9929910000000004,1.2544799999999998,5.3296019999999995,3.553433,2.2385349999999997,4.715589,1.918859,3.465121,2.3926990000000004,1.9393080000000005,4.628897,5.210772,-2.730122,6.2522980000000015,2.83894,2.57553,-0.37701999999999997,5.165294,2.178712,0.571284,-1.817525,5.733527,1.0433219999999999,3.924406,-0.132302,1.847837,5.654503,2.0474040000000002,5.840904,-3.4558839999999997,-0.38019899999999995,3.6180480000000004,5.359129,-3.2942699999999996,,,,,,,,,,,,,,,,,,,4.615243,-3.090133,0.711417,-1.0929879999999998,3.5153455000000005,1.144619,0.252316,8.259356
8-MG-BA,3.7910129999999995,2.6589095,3.3658945,2.251473,-5.5851640000000025,-5.5288080000000015,-4.584382,3.266237,1.20003,1.25011,0.032518,3.241266,2.804447,2.119173,4.711453,-3.678548,3.138012,4.155645,4.469689,4.5650319999999995,0.700585,2.947504,4.611846,-2.070179,-4.83027,2.139379,0.432037,2.96286,-0.605202,1.8856950000000001,0.5908100000000001,-1.5748739999999999,1.909419,-0.999179,2.716042,3.4149800000000003,1.313207,4.064301,-5.059806,3.2831309999999996,1.9898209999999998,1.7072330000000002,2.685289,2.683838,-3.9720120000000003,1.836041,-5.600329,0.533867,2.235868,4.7939050000000005,2.858466,2.474888,-5.721677,1.8599869999999998,-0.0071129999999999995,0.712615,2.598725,2.38594,-0.4772770000000001,3.3389,2.092276,-3.08268,1.432922,2.487818,-0.483616,3.2846480000000002,3.33075,1.710259,-3.02314,3.910461,3.66828,2.830702,0.056867999999999995,2.019581,1.496773,2.9264639999999997,2.4252,0.935102,1.316922,2.3613779999999998,4.660614,4.974974,1.9724130000000002,4.921946,-3.212701,-5.089951,-1.157841,0.274948,4.141332,3.726917,-0.228542,4.9481480000000015,1.518291,2.6292560000000003,4.567476,2.137099,-2.905466,3.8072209999999997,2.769864,-0.46827299999999994,2.85454,2.295753,1.00401,5.40276,0.009177,1.848226,2.714468,4.4687,4.321372,2.2181450000000003,2.345018,-1.498302,2.739451,2.825911,3.360201,4.8289620000000015,-1.542925,4.2976589999999995,1.9647700000000001,4.094175,3.736925,4.313786,4.169728,2.9471580000000004,3.8469160000000002,2.9441599999999997,2.0581709999999998,4.4755410000000015,4.2976800000000015,3.223896,4.0330900000000005,0.5743729999999999,2.988058,2.928183,2.420476,2.033748,-0.30942,1.06645,4.463393,4.068363,2.0870889999999997,-0.888281,3.6429129999999996,3.155791,2.539256,4.978966000000002,2.736596,3.579108,1.419926,2.194929,3.818337,3.826117,-3.040038,6.00851,1.7074060000000002,1.783236,-0.511089,3.8962339999999998,1.803575,0.7917270000000001,-3.069936,4.484528,2.342162,0.843385,-2.079944,1.248897,3.6996559999999996,4.673266,-0.366784,-1.42476,-3.064482,2.2135029999999998,1.054198,,4.025481,,,,,,,,,,,,,,,,,,5.822166999999999,-3.5178200000000004,-2.367702,0.313834,3.0774475,-0.048114,3.4295940000000003,7.7200820000000006
8305C,6.2862215,3.5152245000000004,4.497088,5.375549,-2.650545,-3.6137005,-1.209881,6.221018,2.101497,0.8641690000000001,-0.744306,5.274262,3.5161540000000002,2.121813,6.114694,-1.213986,3.9213720000000003,5.154705,6.557588000000001,5.754343,4.481523,2.917361,5.459118,-1.9662490000000001,-2.671614,1.903889,0.15590299999999999,2.707872,1.772757,5.64556,0.510228,0.14288800000000001,4.562601,-0.441158,3.605408,2.7172099999999997,1.865473,1.7661950000000002,-0.407174,4.4160129999999995,3.43096,3.50996,3.802428,4.1072239999999995,1.834759,2.1699040000000003,-5.461582,2.3205810000000002,2.413579,5.550123,3.3687739999999997,3.398422,-3.924029,1.9684599999999999,0.67516,2.3718779999999997,1.691501,2.730106,4.101913,4.866226999999999,4.5060080000000005,-0.9349299999999999,2.26789,3.953418,1.3925610000000002,5.151033,4.058438,1.195367,-0.43854799999999994,4.342469,3.8588440000000004,6.2005870000000005,2.487545,3.572394,1.2894459999999999,1.902179,5.286738,2.6962650000000004,3.1014310000000003,2.412065,4.7209769999999995,5.642621,3.3231260000000002,6.3420510000000005,-3.5788919999999997,-3.8596550000000014,4.390291,1.1705020000000002,5.520643,3.78764,5.601546,4.329893,4.440318,2.930189,5.636903,3.311704,-0.8157439999999999,4.827885,3.4163300000000003,-0.46513699999999997,4.5040260000000005,3.839431,4.238738,5.247943,1.872675,5.926636,4.151912,4.688208,6.172845,2.386352,2.968244,-1.452331,3.6029809999999998,3.295214,4.370668,6.7714300000000005,0.503216,5.815471,2.608431,4.509665,4.927908,4.77228,5.795732,3.475569,6.149476,5.247015,0.9206559999999999,6.245323,5.321921,6.251786,4.858765,1.076365,5.189104,3.328936,2.644806,3.130203,1.306196,1.5697510000000001,4.808454,2.182888,3.36124,1.6105049999999999,6.166053,3.866187,3.015118,5.4429690000000015,4.471217,1.976968,3.602554,3.3248230000000003,4.306916,5.959102,-1.82103,6.558056,5.061202,3.425412,0.32957,5.455888,2.9384759999999996,1.729697,-1.65147,6.105963,2.073491,3.097509,1.530623,3.326978,6.224583,6.1547550000000015,6.596672,-3.684908,-3.8555370000000004,3.2973269999999997,4.280853,-4.058059,,,,,,,,,,,,,,,,,,,6.452114,-1.5710259999999998,0.844543,-0.589471,3.541058,3.419292,3.345308,8.762999
8505C,6.0569950000000015,2.4902935,4.8814425,5.04473,-3.2340790000000004,-1.5416379999999998,-2.979316,6.114016,2.184346,5.238681,0.065968,6.131767,6.218958,1.487869,4.945979,-2.74768,5.419544999999999,4.0478819999999995,6.7317279999999995,6.625416,2.540147,4.651426,5.715711,-2.233787,-3.501553,5.1850260000000015,-0.8757860000000001,5.790202,2.067206,5.405921,3.498783,1.280269,3.974311,0.887491,3.5849839999999995,5.300713,1.9962349999999998,2.967638,0.294479,2.775515,5.3723230000000015,3.507672,5.082249,3.4358190000000004,-2.180484,2.122853,-5.169452,3.678373,2.880363,4.115858,5.047558,3.60897,-5.236136,2.8768029999999998,1.504341,3.23657,5.529166,1.810611,4.737497,5.589631,2.999115,0.6443270000000001,2.513113,4.630968,-0.091461,6.233651,2.8897209999999998,3.028953,-1.562643,5.563276,4.403261,5.120075,3.376968,4.583481,3.419719,3.4297800000000005,3.701968,3.632768,2.1040669999999997,1.824091,5.108032,6.374423999999999,3.155045,5.216684,-2.337909,-0.9673889999999999,0.5478270000000001,1.347429,5.3918300000000015,3.839636,4.176283,5.309638,2.304557,2.6497,6.186503,6.374423999999999,-0.038395,4.47917,6.24884,3.771381,4.636209,1.8524189999999998,4.962369,6.8194880000000015,1.081941,4.036393,4.45487,5.3070650000000015,4.1072120000000005,3.3053449999999995,3.8208339999999996,1.464037,4.053223,4.727515,3.0838400000000004,7.423928,-0.34936,3.9750910000000004,3.273673,6.027821,4.106564,5.493325,4.956256,4.690231,4.868335,5.161107,1.32576,7.410992999999999,6.374423999999999,6.274038,5.542235,1.003235,4.4029300000000005,3.136835,3.571334,3.303492,-0.011168,2.833082,6.261368,2.98767,4.037202,0.183328,5.304755,5.236497,3.594978,5.693562,2.979963,2.5036680000000002,3.6315480000000004,2.202506,3.7095050000000014,6.026899,-2.313005,7.067571000000001,5.073817,2.620077,0.170099,6.147449,1.876457,0.327602,-2.436,5.880544,3.17214,2.714467,-0.571098,3.9058620000000004,6.199794,6.3656510000000015,5.909918,-2.1182939999999997,1.638064,3.5640709999999998,1.363127,,6.1519980000000025,,,,,,,,,,,,,,,,,,,-3.3716045,-0.191705,-0.26726700000000003,2.9135299999999997,-0.26013800000000004,0.5275,7.954323
A101D,4.8384795,1.3243805,4.236184,1.8635355,-4.644743999999998,-4.7972375,-2.864103,4.053363,1.479529,1.569251,-2.167806,5.01512,3.884018,0.69328,4.636903,-2.028988,4.762975,5.0404870000000015,5.273748,4.30146,2.401777,1.307282,2.2051540000000003,-3.328349,-3.17528,2.716913,-2.565789,3.213708,0.08655499999999999,1.6844139999999999,0.791929,0.261929,3.7176419999999997,1.6640549999999998,2.664455,3.941214,1.5039959999999999,-1.1788100000000001,-3.940124,2.9960299999999997,2.429374,2.417259,2.7814799999999997,2.413904,-4.53965,1.307279,-6.875025,2.2132240000000003,3.0322139999999997,5.200894,3.55179,1.7663799999999998,-6.081911,2.033417,0.265335,1.8004790000000002,1.886248,2.448471,0.4420270000000001,5.333418,3.861453,-3.404008,1.9193740000000001,3.476113,-1.01169,5.423508,2.329108,1.907187,-2.203895,4.772979,3.7317089999999995,3.185608,0.947284,1.7418310000000001,3.022646,0.479688,3.603683,2.224939,2.338235,1.594745,5.431703,4.2746,3.515414,6.116719,-4.478529,-3.979771,-0.268935,0.398093,4.495692,2.772226,2.749446,3.291475,1.253157,0.979316,3.8318449999999995,2.845622,-4.446922,4.984584,4.638807,-0.083747,2.4055169999999997,1.295566,1.295755,4.594367,0.9479,5.127169,3.6362089999999996,4.8514940000000015,3.63878,2.904579,4.7344940000000015,-1.381478,2.6275180000000002,3.052565,4.266103,5.705124,0.10339000000000001,4.171821,1.759477,4.7541400000000005,4.795138,4.059255,5.580215,3.785744,4.35182,3.3919379999999997,0.777103,6.748141,5.7708,3.0678389999999998,4.534796,1.328991,4.988599,3.226426,3.6998910000000014,1.236018,-0.04125,0.590959,4.826842,0.9053620000000001,1.979464,0.231042,5.003097,4.557753,2.400678,5.040196,4.610136,1.483806,2.822769,2.229017,4.932232,4.836034,-3.310103,6.1874980000000015,1.752198,2.0350669999999997,-1.082714,2.458516,2.316791,0.428022,-2.619077,4.5919300000000005,1.5769469999999999,1.564833,-1.13686,1.796439,0.42295,5.8868540000000005,3.964179,-2.937949,-2.633787,2.39968,-4.754283,,4.563631,,,,,,,,,,,,,,,,,,6.279074,-2.8960865,0.33942100000000003,-0.377695,3.7301295,1.201175,3.5244050000000002,6.480416
